en,de
"Mrs Schroedter, I am happy to look into the facts in this respect if I have received your letter.","Frau Schroedter, ich bin gerne bereit, die damit zusammenhängenden Fakten zu prüfen, wenn mir Ihr Brief vorliegt."
"Madam President, first of all, thank you for holding your words and, at the first part-session of the new year, the offer for television programmes in our offices has actually been greatly increased.","Frau Präsidentin, zunächst besten Dank dafür, daß Sie Wort gehalten haben und nun in der ersten Sitzungsperiode des neuen Jahres das Angebot an Fernsehprogrammen in unseren Büros tatsächlich enorm erweitert ist."
"However, Madam President, my wish was not met.","Dennoch, Frau Präsidentin, wurde meinem Wunsch nicht entsprochen."
"At the moment, we can now send two Finnish and one Portuguese, but not a Dutch, but I had asked you for a Dutch programme, because we also want to send the news to the Netherlands if we are sent to the centre every month.","Zwar können wir jetzt zwei finnische und einen portugiesischen, nach wie vor aber keinen niederländischen Sender empfangen. Ich hatte Sie aber um ein niederländisches Programm gebeten, denn auch wir Niederländer möchten die Nachrichten verfolgen, wenn wir jeden Monat hierher in die Verbannung geschickt werden."
I would therefore ask you again to ensure that a Dutch sender is also sent.,"Deshalb möchte ich Sie nochmals ersuchen, dafür Sorge zu tragen, daß auch ein niederländischer Sender eingespeist wird."
"Mrs Plooij-van Gorsel, I can tell you that this point is on the agenda for Quaestors.","Frau Plooij-van Gorsel, ich kann Ihnen mitteilen, daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht."
I hope that your point of view will be taken.,"Ich hoffe, daß dort in Ihrem Sinne entschieden wird."
"Madam President, can you tell me why this Parliament does not adhere to the working conditions which it has adopted itself?","Frau Präsidentin, können Sie mir sagen, warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält, die es selbst verabschiedet hat?"
Why has the quality of air in this building not been checked for a single time since our choice?,Weshalb wurde die Luftqualität in diesem Gebäude seit unserer Wahl nicht ein einziges Mal überprüft?
Why has the Committee on Employment not been a single person since 1998?,Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten?
Why did not a brand protection exercise be held either in the Brussels Parliament building or in the Strasbourg Parliament building?,Warum hat weder im Brüsseler noch im Straßburger Parlamentsgebäude eine Brandschutzübung stattgefunden?
Why are there no branding restrictions?,Warum finden keine Brandschutzbelehrungen statt?
Why has nothing to be done after my accident in order to ensure that the wrecks are safer?,"Warum wurde nach meinem Unfall nichts unternommen, um die Treppen sicherer zu machen?"
Why is the ban on fumes not implemented in non-commercial areas?,Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt?
It is a shame that we are adopting rules which we do not respect ourselves.,"Es ist eine Schande, daß wir Regeln verabschieden, an die wir uns dann selbst nicht halten."
"Mrs Lynne, you are quite right and I shall check whether this is really the case.","Frau Lynne, Sie haben völlig recht, und ich werde prüfen, ob all dies wirklich so ist."
"I will also give the question to the Quaestors, and I am sure that this is a great value, that we also respect the legislation which we adopt.","Ich werde die Frage auch den Quästoren unterbreiten. Ich bin mir sicher, daß diese großen Wert darauf legen, daß wir die Rechtsvorschriften, die wir verabschieden, auch selbst einhalten."
"Madam President, Mrs Dez González and I have asked a number of questions, in a Spanish newspaper, about the opinions of Vice-President de Palacio.","Frau Präsidentin! Frau Díez González und ich hatten einige Anfragen zu bestimmten, in einer spanischen Zeitung wiedergegebenen Stellungnahmen der Vizepräsidentin, Frau de Palacio, gestellt."
The competent services have not included them in the agenda because they were of the opinion that they had already been accepted into a previous sitting.,"Die zuständigen Dienste haben sie nicht in die Tagesordnung aufgenommen, da sie der Meinung waren, sie seien schon in einer vorangegangenen Sitzung beantwortet worden."
I would ask that this decision be reconsidered because that is not the case.,"Ich bitte, diese Entscheidung zu überdenken, weil das nicht der Fall ist."
"The previous questions referred to Mrs de Palacio' s arrival in a particular issue, not to the statements made on 18 November last year on the ABC agenda.","Die früher beantworteten Anfragen bezogen sich auf das Auftreten von Frau de Palacio in einer bestimmten Angelegenheit, nicht auf die am 18. November des vergangenen Jahres in der Tageszeitung ABC erschienenen Erklärungen."
"Ladies and gentlemen, we will look into this.","Lieber Kollege, wir werden das prüfen."
"However, I have to say that I feel that the situation is a little confused at the moment.","Ich muß Ihnen aber sagen, daß ich die Lage im Moment für etwas verworren halte."
"However, we will look into this very closely, so that everything has its relevance.","Wir werden das aber sehr genau prüfen, damit alles seine Richtigkeit hat."
"Madam President, I should like to know if this week Parliament will send a clear signal to our dissatisfaction with regard to today' s decision to extend the arms embargo on Indonesia, despite the fact that a large majority in this Parliament has voted in the past for the arms embargo on Indonesia.","Frau Präsidentin, ich wüßte gern, ob das Parlament in dieser Woche ein deutliches Signal unserer Unzufriedenheit bezüglich der heutigen Entscheidung, mit der eine Verlängerung des Waffenembargos gegen Indonesien abgelehnt wird, aussenden wird, zumal sich die große Mehrheit in diesem Parlament in der Vergangenheit für das Waffenembargo gegen Indonesien ausgesprochen hat."
The current decision against extending the embargo is a very serious threat in the face of the situation there.,Die heutige Entscheidung gegen eine Verlängerung des Embargos birgt angesichts der dortigen Lage eine sehr große Gefahr.
Parliament should send a message in accordance with the wish of the large majority.,"Das Parlament sollte, da dies dem Wunsch der großen Mehrheit entspricht, eine entsprechende Botschaft senden."
The rejection of extending the embargo on the part of the EU Member States is irresponsible.,Die Ablehnung einer Verlängerung des Embargos seitens der EU-Mitgliedstaaten ist unverantwortlich.
"As has already been pointed out, the situation in Indonesia is extremely unstable.","Wie bereits festgestellt wurde, ist die Lage in Indonesien äußerst instabil."
There is even a risk of military coups.,Es besteht sogar die Gefahr eines Militärputsches.
We do not know what happened.,"Wir wissen nicht, was passiert."
So why should the EU' s arms manufacturers make profit at the expense of innocent people?,Weshalb also sollten Waffenhersteller in der EU auf Kosten unschuldiger Menschen Profite einstreichen?
This is not the topical debate on Thursday.,Dieser Punkt ist bisher nicht für die Dringlichkeitsdebatte am Donnerstag vorgesehen.
Agenda,Arbeitsplan
"The next item is the examination of the final draft agenda, as established by Rule 110 of the Rules of Procedure on Thursday 13 January by the Conference of Presidents.","Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung, wie er nach Artikel 110 der Geschäftsordnung am Donnerstag, dem 13. Januar von der Konferenz der Präsidenten festgelegt wurde."
No amendments have been made on Monday and Tuesday.,Zu Montag und Dienstag liegen keine Änderungen vor.
Relating to Wednesday:,Zum Mittwoch:
The Group of the Party of European Socialists is proposing to include a Commission statement on its strategic objectives for the next five years and on the Commission' s administrative reform on the agenda.,"Die Sozialdemokratische Fraktion beantragt, eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen."
"I would ask the applicant, Mr Barón Crespo, to make his request if he wishes.","Ich bitte den Antragsteller, Herrn Barón Crespo, seinen Antrag zu begründen, falls er dies wünscht."
Then we do the usual thing: a speaker for that.,"Danach verfahren wir wie üblich: ein Redner dafür, einer dagegen."
"Madam President, the idea of the Prodi Commission' s political programme for the whole period of the term went back to a proposal from the Group of the Party of European Socialists, which supported the unanimous Billing of the Conference of Presidents in September and which also supported President Prodi' s express agreement, which reiterated his commitment in his speech on membership.","Frau Präsidentin! Die Vorstellung des politischen Programms der Kommission Prodi für die gesamte Wahlperiode ging auf einen Vorschlag der Fraktion der Sozialdemokratischen Partei Europas zurück, der die einhellige Billigung der Konferenz der Präsidenten im September und auch die ausdrückliche Zustimmung von Präsident Prodi fand, der seine Zusage in seiner Antrittsrede bekräftigte."
"This commitment is important in this respect, as the Commission is an institution which, according to the Treaties, is the monopoly of initiative and is therefore fundamental to the political and legislative activities of this Parliament over the next five years.","Diese Zusage ist insofern von Bedeutung, als die Kommission ein Organ ist, das nach den Verträgen das Initiativmonopol besitzt und somit grundlegend die politische und legislative Tätigkeit dieses Parlaments in den nächsten fünf Jahren gestaltet."
"I would also like to remind you that this Parliament has expressed confidence in President Prodi' s previous presidential term; in this legislature he spoke again in July and then, as the new Commission was in office in September, there was again a voice of confidence for the Commission as a whole.","Ich möchte auch daran erinnern, daß dieses Parlament in der vorangegangenen Wahlperiode Präsident Prodi zweimal sein Vertrauen ausgesprochen hat; in dieser Wahlperiode sprach es ihm im Juli erneut sein Vertrauen aus, und dann, als die neue Kommission im Amt war, gab es im September erneut ein Vertrauensvotum für die Kommission insgesamt."
So the Commission has already had enough time to prepare its programme and we are able to meet it and explain to the citizens.,"Somit hatte die Kommission bereits genügend Zeit, ihr Programm zu erarbeiten, und wir, um es kennenlernen und den Bürgern erklären zu können."
"In this respect, I would like to remind you of the resolution of 15 September, which recommended that the proposal be submitted within the short term.","In diesem Sinne erinnere ich an die Entschließung vom 15. September, in der empfohlen wurde, den Vorschlag in der kürzestmöglichen Frist vorzulegen."
Last week' s events - which took place on the sidelines of the Conference of Presidents and which only took advantage of this conference to confirm and ratify decisions taken outside the borders - illustrate a dilemma: either the Commission is not able to present this programme (in this case it should give a clarification).,"Die Ereignisse der vergangenen Woche - die am Rande der Konferenz der Präsidenten ihren Anfang nahmen und wobei diese Konferenz nur zur Bestätigung und Ratifizierung von außerhalb gefaßten Beschlüssen genutzt wurde - verdeutlichen ein Dilemma: Entweder ist die Kommission nicht in der Lage, dieses Programm vorzulegen (In diesem Fall sollte sie eine Klärung herbeiführen."
"After the words of their President, they are in a position to do so.",Nach den Worten ihres Präsidenten ist sie dazu in der Lage.
"Since the Commission is represented by Vice-President de Palacio, I think it is appropriate to know before the vote the Commission' s position on the provision of the programme, as it was agreed, or Parliament is not in a position to examine this programme, as some have suggested.","Da die Kommission durch die Vizepräsidentin, Frau de Palacio, vertreten ist, halte ich es für zweckmäßig, vor der Abstimmung die Position der Kommission hinsichtlich ihrer Bereitschaft zur Vorstellung des Programms, so wie es vereinbart war, zu erfahren.), oder das Parlament ist zur Prüfung dieses Programms nicht in der Lage, wie einige offenbar vorgeben."
"In my opinion, this second hypothese would be a shame to our role as a Parliament and, beyond that, to suggest an originator of this, an unknown method which would allow the political groups to read the Commission' s programme in writing in a week before - and not, as agreed on the day before - and to take note of the fact that the legislative programme will be discussed in February so that we can avoid the debate, since the press and the","Nach meiner Ansicht würde diese zweite Hypothese einem Verzicht auf unsere Verantwortung als Parlament und darüber hinaus dem Aufwerfen einer originellen These, einer unbekannten Methode gleichkommen, die darin bestände, den Fraktionen die programmatische Rede der Kommission in schriftlicher Form eine Woche vorher - und nicht, wie vereinbart, am Tag zuvor - zur Kenntnis zu geben, wobei zu berücksichtigen ist, daß das Legislativprogramm im Februar diskutiert werden wird, so daß wir auf die Aussprache verzichten könnten, da die Presse und das Internet am Tag darauf alle Bürger darüber informiert haben würden und das Parlament keinen Grund mehr hätte, sich mit der Angelegenheit zu befassen."
"As my Group believes that a Parliament is here to discuss and reflect, we do not believe that there is any reason to justify this delay and we believe that if the Commission is in a position to do so, we are precisely in the process of putting the original agreement between Parliament and the Commission back into force and of ensuring that it is able to act responsibly and responsibly against our fellow citizens.","Da meine Fraktion der Meinung ist, daß ein Parlament dazu da ist, zuzuhören, zu diskutieren und nachzudenken, gibt es unserer Ansicht nach keinen Grund zur Rechtfertigung dieser Verzögerung, und wir glauben, wenn die Kommission dazu in der Lage ist, liegen wir genau in der Zeit, um die ursprüngliche Vereinbarung zwischen dem Parlament und der Kommission wieder in Kraft zu setzen und verantwortungsbewußt vor unsere Mitbürgerinnen und Mitbürgern treten zu können."
"That is why the Group of the Party of European Socialists, which you have mentioned, is proposing to retain the code of conduct as the end of the Commission' s Prodi programme for the period in which this programme also includes the administrative reform project, since we might have a paradoxical situation: the debate, the wording, is not going to be a question of the President of the Commission, will speak in this Parliament and, on the other hand,","Deshalb besteht der Vorschlag der Fraktion der Sozialdemokratischen Partei Europas, den Sie erwähnt haben, darin, den Mittwoch als Termin der Vorstellung des Programms der Kommission Prodi für die Wahlperiode beizubehalten, und in dieses Programm auch das Verwaltungsreformprojekt einzubeziehen, da wir andernfalls in eine paradoxe Situation geraten könnten: Mit der Ausrede, der Wortlaut liege nicht vor, wird einerseits dem Präsidenten der Kommission das Recht abgesprochen, in diesem Parlament zu sprechen, und andererseits würde eine Aussprache über die Reform stattfinden, ohne daß dieses Parlament zuvor die Texte lesen konnte, die der Aussprache zugrunde liegen."
"I would therefore ask you, Madam President, to ask the Commission to respond now and then to vote.","Daher bitte ich Sie, Frau Präsidentin, die Kommission zu ersuchen, sich jetzt zu äußern, und danach zur Abstimmung zu schreiten."
(Applause from the PSE Group),(Beifall der PSE-Fraktion)
"Madam President, ladies and gentlemen, I am a little surprised at the behaviour of Mr Barón Crespo, who now calls for this item on the agenda to be put on Wednesday.","Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich bin doch etwas erstaunt über das Verhalten des Kollegen Barón Crespo, der jetzt verlangt, daß dieser Tagesordnungspunkt auf die Tagesordnung für Mittwoch gesetzt wird."
"Mr Barón Crespo, you were unable to attend the Conference of Presidents last Thursday.","Herr Kollege Barón Crespo, Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein."
I am not criterioning this; it is always a good thing that we are represented.,"Das kritisiere ich nicht; es kommt immer mal vor, daß man sich vertreten läßt."
Mr Hänsch has represented you there.,Der Kollege Hänsch hat Sie dort vertreten.
We have held a detailed debate at the Conference of Presidents.,Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt.
Only your Group has represented what you are saying now.,"Nur Ihre Fraktion hat das vertreten, was Sie jetzt sagen."
We then voted.,Wir haben dann abgestimmt.
Every chair or any chair has so many votes as the Group has members.,"Jeder Vorsitzende bzw. jede Vorsitzende hat ja so viele Stimmen, wie die Fraktion Mitglieder hat."
There was a vote on this point.,Es gab eine Abstimmung zu diesem Punkt.
I remember this vote: 422 votes to 180 in a few votes.,Diese Abstimmung ist meiner Erinnerung nach so ausgegangen: 422 gegen 180 Stimmen bei einigen wenigen Enthaltungen.
"This means that all the groups, except the members of the Group - but they are not a group - were agreed to do so, as you have proposed here.","Das heißt, alle Fraktionen, mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig, nur Ihre Fraktion war der Meinung, so zu verfahren, wie Sie es hier vorgeschlagen haben."
All the others were of the opinion.,Alle anderen waren anderer Meinung.
That was the decision.,Das war der Beschluß.
I should now like to say something about this.,Jetzt möchte ich zur Sache selbst etwas sagen.
