en,de
"However, I would ask you, in accordance with the line which is now constantly followed by the European Parliament and by the whole of the European Community, to make representations, using the weight of your prestigious office and the institution you represent, to the President and to the Governor of Texas, Mr Bush, who has the power to order a stay of execution and to reprieve the condemned person.","Ich möchte Sie jedoch ersuchen, gemäß der Linie, die jetzt ständig vom Europäischen Parlament und von der gesamten Europäischen Gemeinschaft verfolgt wird, sich an den Präsidenten und an den Gouverneur von Texas, Herrn Bush, zu wenden, der die Befugnis hat, den Hinrichtungsaufschub zu verhängen und die verurteilte Person zu verurteilen."
This is all in accordance with the principles that we have always upheld.,"Das alles entspricht den Grundsätzen, die wir stets vertreten haben."
"Thank you, Mr Segni, I shall do so gladly.","Vielen Dank, Herr Segni, ich werde das gerne tun."
"Indeed, it is quite in keeping with the positions this House has always adopted.","Sie entspricht in der Tat den Standpunkten, die dieses Haus stets vertreten hat."
"Madam President, I should like to draw your attention to a case in which this Parliament has consistently shown an interest.","Frau Präsidentin, ich möchte Ihre Aufmerksamkeit auf einen Fall lenken, in dem dieses Parlament stets ein Interesse gezeigt hat."
It is the case of Alexander Nikitin.,Das ist der Fall von Alexander Nikitin.
"All of us here are pleased that the courts have acquitted him and made it clear that in Russia, too, access to environmental information is a constitutional right.","Wir alle hier sind froh, dass die Gerichte ihn freigesprochen haben und deutlich gemacht haben, dass auch in Russland der Zugang zu Umweltinformationen ein verfassungsmäßiges Recht ist."
"Now, however, he is to go before the courts once more because the public prosecutor is appealing.","Jetzt wird er jedoch noch einmal vor Gericht gehen, weil der Staatsanwalt Berufung einlegt."
"We know, and we have stated as much in very many resolutions indeed, including specifically during the last plenary part-session of last year, that this is not solely a legal case and that it is wrong for Alexander Nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings.","Wir wissen, und wir haben das in sehr vielen Entschließungen - auch während der letzten Plenarsitzung im vergangenen Jahr - auch gesagt, dass dies nicht nur ein Rechtsfall ist und dass es falsch ist, Alexander Nikitin wegen unserer Beteiligung als Nutznießer seiner Ergebnisse krimineller Handlungen und Verrat beschuldigt zu werden."
"These findings form the basis of the European programmes to protect the Barents Sea, and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament's position, as expressed in the resolutions which it has adopted, clear as far as Russia is concerned.","Diese Feststellungen bilden die Grundlage für die europäischen Programme zum Schutz des Barents Meeres, und deshalb bitte ich Sie, einen Briefentwurf zu prüfen, der die wichtigsten Fakten darlegt, und den Standpunkt des Parlaments, wie er in den Entschließungen, die es angenommen hat, in Bezug auf Russland deutlich zu machen."
"Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.","Ja, Frau Schroedter, ich werde mich freuen, wenn ich Ihr Schreiben erhalten habe, über die Fakten dieses Falles nachzudenken."
"Madam President, I would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.","Frau Präsidentin, zunächst möchte ich Ihnen zu der Tatsache gratulieren, dass Sie Ihr Wort gehalten haben und dass die Zahl der Fernsehsender in unseren Büros in der Tat erheblich gestiegen ist."
"But, Madam President, my personal request has not been met.","Aber, Frau Präsidentin, meine persönliche Bitte ist nicht erfüllt worden."
"Although there are now two Finnish channels and one Portuguese one, there is still no Dutch channel, which is what I had requested because Dutch people here like to be able to follow the news too when we are sent to this place of exile every month.","Obwohl es jetzt zwei finnische Kanäle und einen portugiesischen Kanal gibt, gibt es noch keinen niederländischen Kanal, was ich gefordert hatte, weil die niederländischen Leute hier gerne die Nachrichten verfolgen können, wenn wir jeden Monat an dieses Exil geschickt werden."
I would therefore once more ask you to ensure that we get a Dutch channel as well.,"Deshalb bitte ich Sie noch einmal, dafür zu sorgen, dass wir auch einen niederländischen Kanal bekommen."
"Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.","Frau Plooij-van Gorsel, ich kann Ihnen sagen, dass dieses Thema auf der Tagesordnung der Quästorensitzung am Mittwoch steht."
"It will, I hope, be examined in a positive light.","Ich hoffe, dass er positiv geprüft wird."
"Madam President, can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes?","Frau Präsidentin, können Sie mir sagen, warum dieses Parlament nicht an die Gesundheits- und Sicherheitsvorschriften hält, die es tatsächlich verabschiedet?"
Why has no air quality test been done on this particular building since we were elected?,Warum wurde in diesem Gebäude seit der Wahl keine Luftqualitätsprüfung durchgeführt?
Why has there been no Health and Safety Committee meeting since 1998?,Warum gab es seit 1998 keine Sitzung des Ausschusses für Gesundheit und Sicherheit?
"Why has there been no fire drill, either in the Brussels Parliament buildings or the Strasbourg Parliament buildings?","Warum gab es keine Feuerbohrerei, weder in den Gebäuden des Parlaments von Brüssel noch in den Gebäuden des Parlaments von Straßburg?"
Why are there no fire instructions?,Warum gibt es keine Brandanweisungen?
Why have the staircases not been improved since my accident?,Warum wurden die Treppen seit meinem Unfall nicht verbessert?
Why are no-smoking areas not enforced?,Warum werden Nichtraucherzonen nicht durchgesetzt?
It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.,"Es erscheint absolut schändlich, dass wir Rechtsvorschriften verabschieden und uns nicht an sie halten."
"Mrs Lynne, you are quite right and I shall check whether this has actually not been done.","Frau Lynne, Sie haben völlig Recht, und ich werde prüfen, ob dies tatsächlich nicht getan wurde."
"I shall also refer the matter to the College of Quaestors, and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on.","Ich werde die Angelegenheit auch an das Kollegium der Quästoren verweisen, und ich bin sicher, daß sie darauf achten werden, daß wir die Verordnungen einhalten, über die wir selbst abstimmen."
"Madam President, Mrs Díez González and I had tabled questions on certain opinions of the Vice-President, Mrs de Palacio, which appeared in a Spanish newspaper.","Frau Präsidentin, Frau Dez González und ich hatten Fragen zu bestimmten Stellungnahmen der Vizepräsidentin, Frau de Palacio, eingereicht, die in einer spanischen Zeitung erschienen sind."
The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.,"Die zuständigen Dienststellen haben sie nicht auf die Tagesordnung gesetzt, weil sie in einer früheren Sitzung beantwortet worden waren."
"I would ask that they reconsider, since this is not the case.","Ich bitte Sie, sie zu überdenken, da dies nicht der Fall ist."
"The questions answered previously referred to Mrs de Palacio' s intervention, on another occasion, and not to these comments which appeared in the ABC newspaper on 18 November.","Die zuvor beantworteten Fragen betrafen die Rede von Frau de Palacio bei einer anderen Gelegenheit, und nicht diese Bemerkungen, die am 18. November in der ABC-Zeitung erschienen sind."
"Mr Berenguer Fuster, we shall check all this.","Herr Berenguer Fuster, wir werden das alles überprüfen."
"I admit that, at present, the matter seems to be somewhat confused.","Ich gebe zu, dass die Angelegenheit derzeit etwas verwirrt zu sein scheint."
We shall therefore look into it properly to ensure that everything is as it should be.,"Deshalb werden wir es ordnungsgemäß prüfen, um sicherzustellen, dass alles so ist, wie es sein sollte."
"Madam President, I should like to know if there will be a clear message going out from Parliament this week about our discontent over today's decision refusing to renew the arms embargo on Indonesia, considering that the vast majority in this Parliament have endorsed the arms embargo in Indonesia in the past?","Frau Präsidentin, ich möchte wissen, ob das Parlament in dieser Woche eine klare Botschaft über unsere Unzufriedenheit über die heutige Entscheidung, das Waffenembargo gegen Indonesien zu verlängern, aussenden wird, wenn man bedenkt, dass die große Mehrheit dieses Parlaments das Waffenembargo in Indonesien in der Vergangenheit unterstützt hat."
Today's decision not to renew the embargo is extremely dangerous considering the situation there.,"Die heutige Entscheidung, das Embargo nicht zu verlängern, ist angesichts der dortigen Situation äußerst gefährlich."
"So Parliament should send a message, since that is the wish of the vast majority.","Deshalb sollte das Parlament eine Botschaft aussenden, denn das ist der Wunsch der großen Mehrheit."
It is irresponsible of EU Member States to refuse to renew the embargo.,"Es ist unverantwortlich, dass sich die EU-Mitgliedstaaten weigern, das Embargo zu erneuern."
"As people have said, the situation there is extremely volatile.","Wie die Menschen gesagt haben, ist die Situation dort äußerst schwach."
"There is, in fact, a risk of a military coup in the future.",Tatsächlich besteht die Gefahr eines Militärputschs in der Zukunft.
We do not know what is happening.,"Wir wissen nicht, was geschieht."
So why should EU arms producers profit at the expense of innocent people?,Warum also sollten die EU-Waffenproduzenten auf Kosten unschuldiger Menschen profitieren?
"In any event, this question is not presently included among the requests for topical and urgent debate on Thursday.",Auf jeden Fall wird diese Frage derzeit nicht in die Dringlichkeitsdebatte am Donnerstag aufgenommen.
Agenda,Tagesordnung
The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure.,"Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung, wie er von der Konferenz der Präsidenten auf ihrer Sitzung vom 13. Januar gemäß Artikel 110 der Geschäftsordnung erstellt wurde."
No amendments have been proposed relating to Monday and Tuesday.,Es wurden keine nderungsanträge zu Montag und Dienstag vorgeschlagen.
Relating to Wednesday:,Zum Mittwoch:
The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission.,Die Fraktion der Sozialdemokratischen Partei Europas fordert die Aufnahme einer Erklärung der Kommission zu ihren strategischen Zielen für die nächsten fünf Jahre und zur Verwaltungsreform der Kommission.
"I would like Mr Barón Crespo, who made the request, to speak to propose it. That is, if he so wishes, of course.","Ich möchte Herrn Barón Crespo, der den Antrag gestellt hat, das Wort ergreifen, um ihn vorzuschlagen, das heißt natürlich, wenn er es wünscht."
"Then we shall follow the usual procedure, hearing one speaker in favour and one against.","Dann folgen wir dem üblichen Verfahren, indem wir einen Redner dafür und einen dagegen hören."
"Madam President, the presentation of the Prodi Commission' s political programme for the whole legislature was initially a proposal by the Group of the Party of European Socialists which was unanimously approved by the Conference of Presidents in September and which was also explicitly accepted by President Prodi, who reiterated his commitment in his inaugural speech.","Frau Präsidentin, die Vorstellung des politischen Programms der Kommission Prodi für die gesamte Legislaturperiode war zunächst ein Vorschlag der Fraktion der Sozialdemokratischen Partei Europas, der von der Konferenz der Präsidenten im September einstimmig angenommen wurde und der auch ausdrücklich von Präsident Prodi akzeptiert wurde, der in seiner Antrittsrede seine Verpflichtung wiederholte."
"This commitment is important because the Commission is a body with a monopoly of initiative in accordance with the Treaties and, therefore, basically dictates this Parliament' s political and legislative activity for the next five years.","Diese Verpflichtung ist wichtig, denn die Kommission ist ein Initiativorgan, das gemäß den Verträgen ein Initiativmonopol hat und somit die politische und legislative Tätigkeit dieses Parlaments für die nächsten fünf Jahre im Wesentlichen diktiert."
"I would also like to point out, Madam President, that this Parliament voted to express its confidence in President Prodi during the previous legislature. It did so again during this legislature, in July, and then, in September, it voted once more to approve the whole Commission.","Ich möchte auch darauf hinweisen, Frau Präsidentin, daß dieses Parlament in der vorangegangenen Legislaturperiode für Präsident Prodi gestimmt hat, und zwar während dieser Legislaturperiode, im Juli, und dann im September erneut für die Annahme der gesamten Kommission gestimmt hat."
There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens.,"Daher hat die Kommission genug Zeit gegeben, ihr Programm vorzubereiten und uns mit ihm vertraut zu machen und es unseren Bürgern zu erklären."
"To this end, I would like to remind you of the resolution of 15 September, which recommended that the proposal be presented as soon as possible.","Dazu möchte ich an die Entschließung vom 15. September erinnern, in der empfohlen wurde, den Vorschlag so schnell wie möglich vorzulegen."
"The events of last week - which originated outside the Conference of Presidents, that Conference being used simply to corroborate and ratify decisions taken elsewhere - present us with a dilemma. Either the Commission is not ready to present this programme, in which case it should clarify it.","Die Ereignisse der vergangenen Woche - die außerhalb der Konferenz der Präsidenten entstanden sind, die lediglich dazu genutzt wurde, Entscheidungen anderswo zu korroborieren und zu ratifizieren - stellen uns ein Dilemma dar: Entweder ist die Kommission nicht bereit, dieses Programm vorzulegen, und dann sollte sie es klarstellen."
"According to its President, it is in a position to do so.","Dem Präsidenten zufolge ist es in der Lage, dies zu tun."
"Given that the Commission is represented by Vice-President de Palacio, I believe that, before voting, it would help if the Commission could let us know how ready it is to present this programme, as agreed. Alternatively, Parliament is not ready to examine this programme, as some appear to be suggesting.","Da die Kommission von Vizepräsident de Palacio vertreten ist, glaube ich, dass es vor der Abstimmung hilfreich wäre, wenn die Kommission uns mitteilen könnte, wie bereit sie ist, dieses Programm vorzulegen, wie vereinbart, oder das Parlament nicht bereit ist, dieses Programm zu prüfen, wie einige scheinen."
"In my opinion, this second hypothesis would imply the failure of Parliament in its duty as a Parliament, as well as introducing an original thesis, an unknown method which consists of making political groups aware, in writing, of a speech concerning the Commission' s programme a week earlier - and not a day earlier, as had been agreed - bearing in mind that the legislative programme will be discussed in February, so we could forego the debate, since on the next day our citizens will hear about it in the press and on the Internet and Parliament will no longer have to worry about it.","Meiner Meinung nach würde diese zweite Hypothese das Scheitern des Parlaments als Parlament bedeuten und eine ursprüngliche These einführen, eine unbekannte Methode, die darin besteht, den Fraktionen schriftlich eine Rede über das Programm der Kommission eine Woche vor - und nicht einen Tag zuvor, wie vereinbart - mit Blick darauf zu vermitteln, daß das Gesetzgebungsprogramm im Februar diskutiert wird, so daß wir die Debatte aufgeben"
"My Group believes that since a parliament is meant to listen, debate and reflect, there can be no justification whatsoever for this delay and we believe that, if the Commission is ready to do so, we still have time to re-establish the original agreement between Parliament and the Commission and proceed in a manner which fulfils our duty to our fellow citizens.","Meine Fraktion ist der Meinung, daß es, da ein Parlament zuhören, diskutieren und nachdenken soll, keinerlei Rechtfertigung für diese Verzögerung geben kann, und wir glauben, daß wir, wenn die Kommission dazu bereit ist, noch Zeit haben, die ursprüngliche Vereinbarung zwischen Parlament und Kommission wiederherzustellen und so vorzugehen, daß wir unsere Pflicht gegenüber unseren Mitbürgern erfüllen."
"Therefore, the proposal of the Group of the Party of European Socialists, and which you have mentioned, is that the Prodi Commission present its legislative programme on Wednesday, including its proposed administrative reform, because, otherwise, we could find ourselves in a paradoxical situation: on the pretext that there is no text, on the one hand, the President of the Commission would be denied his right to speak in this Parliament and, on the other hand, there would be a debate on a reform when Parliament had no prior knowledge of the texts on which it is based.","Der Vorschlag der Fraktion der Sozialdemokratischen Partei Europas, den Sie erwähnt haben, ist daher, dass die Kommission Prodi am Mittwoch ihr Gesetzgebungsprogramm vorlegt, einschließlich ihrer vorgeschlagenen Verwaltungsreform, denn sonst könnten wir uns in einer paradoxen Situation befinden: Unter dem Vorwand, dass es keinen Text gibt, würde einerseits dem Präsidenten der Kommission sein Wortrecht in diesem Parlament"
"Therefore, Madam President, I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote.","Deshalb, Frau Präsidentin, möchte ich Sie bitten, die Kommission aufgefordert zu haben, ihre Meinung zu diesem Thema zu äußern und dann zur Abstimmung zu kommen."
(Applause from the PSE Group),(Beifall der PSE-Fraktion)
"Madam President, I really am quite astonished at Mr Barón Crespo' s behaviour and the fact that he is now asking for this item to be put on Wednesday's agenda.","Frau Präsidentin, ich bin wirklich sehr erstaunt über das Verhalten von Herrn Barón Crespo und die Tatsache, daß er jetzt fordert, daß dieser Punkt auf die Tagesordnung vom Mittwoch gesetzt wird."
"Mr Barón Crespo, you were unable to attend the Conference of Presidents last Thursday.","Herr Barón Crespo, Sie konnten am vergangenen Donnerstag nicht an der Konferenz der Präsidenten teilnehmen."
I am not criticising this; it happens from time to time that people send someone to represent them.,"Ich kritisiert dies nicht, sondern es geschieht von Zeit zu Zeit, dass Menschen jemanden entsenden, um sie zu vertreten."
Mr Hänsch represented you on this occasion.,Herr Hänsch hat Sie bei dieser Gelegenheit vertreten.
"In the Conference of Presidents, we had an in-depth discussion.",Auf der Konferenz der Präsidenten haben wir eine gründliche Diskussion geführt.
Your Group was alone in advocating what you are saying now.,"Ihre Fraktion hat sich allein dafür eingesetzt, was Sie jetzt sagen."
We then put it to a vote.,Dann legen wir darüber ab.
"As you know, each chairman has the same number of votes as his Group has Members.","Wie Sie wissen, hat jeder Vorsitzende die gleiche Stimmenzahl wie seine Fraktion."
There was a vote on this matter.,Es gab eine Abstimmung zu diesem Thema.
"As I recall, the outcome of this vote was 422 votes to 180 with a few abstentions.","Ich erinnere mich daran, dass das Ergebnis dieser Abstimmung 422 zu 180 Stimmen mit einigen Enthaltungen war."
"This means that all the Groups with the exception of the non-attached Members - but, of course, they are not a Group - were in agreement; only your Group thought that we should proceed as you have proposed here.","Das heißt, alle Fraktionen mit Ausnahme der fraktionslosen Abgeordneten - aber natürlich sind sie keine Fraktion - waren sich einig; nur Ihre Fraktion glaubte, dass wir, wie Sie hier vorgeschlagen haben, vorgehen sollten."
All of the others were of a different opinion.,Alle anderen waren anderer Meinung.
That was the decision.,Das war die Entscheidung.
I should now like to comment on the issue itself.,Ich möchte nun zu diesem Thema selbst Stellung nehmen.
