en,de
" Madam President , I would like to start by thanking you for your word and has now been taken into account in the first - session of the new year - on television channels in our offices . ","Frau Präsidentin, zunächst besten Dank dafür, daß Sie Wort gehalten haben und nun in der ersten Sitzungsperiode des neuen Jahres das Angebot an Fernsehprogrammen in unseren Büros tatsächlich enorm erweitert ist."
" Nevertheless , Madam President , my wish was not met with regard to my request . ","Dennoch, Frau Präsidentin, wurde meinem Wunsch nicht entsprochen."
" While there are now two Finnish Finnish Finnish and one Portuguese one which has been sent to a Dutch channel , which is what you have asked because there is a Dutch Dutch channel because we are now going to follow the news of our people to be sent to human news . ","Zwar können wir jetzt zwei finnische und einen portugiesischen, nach wie vor aber keinen niederländischen Sender empfangen. Ich hatte Sie aber um ein niederländisches Programm gebeten, denn auch wir Niederländer möchten die Nachrichten verfolgen, wenn wir jeden Monat hierher in die Verbannung geschickt werden."
 I would therefore ask you to ensure that we get a Dutch channel as well . ,"Deshalb möchte ich Sie nochmals ersuchen, dafür Sorge zu tragen, daß auch ein niederländischer Sender eingespeist wird."
" Mrs Plooij - van Gorsel , I can tell you that this item on Wednesday ' s agenda . ","Frau Plooij-van Gorsel, ich kann Ihnen mitteilen, daß dieser Punkt am Mittwoch auf der Tagesordnung der Quästoren steht."
" I hope that in your view , there will be a clear approach . ","Ich hoffe, daß dort in Ihrem Sinne entschieden wird."
" Madam President , can you tell me why this Parliament does not respect the health and safety legislation that it has adopted itself ? ","Frau Präsidentin, können Sie mir sagen, warum sich dieses Parlament nicht an die Arbeitsschutzregelungen hält, die es selbst verabschiedet hat?"
 Why has the quality of air quality in this building since we did not check why ? ,Weshalb wurde die Luftqualität in diesem Gebäude seit unserer Wahl nicht ein einziges Mal überprüft?
 Why has there been no plans for food policy since 1998 ? ,Weshalb ist der Arbeitsschutzausschuß seit 1998 nicht ein einziges Mal zusammengetreten?
 Why did we get a little Parliament the case of the Strasbourg Parliament building a little Parliament ' s,Warum hat weder im Brüsseler noch im Straßburger Parlamentsgebäude eine Brandschutzübung stattgefunden?
 Why are there no fire prior to those stories ? ,Warum finden keine Brandschutzbelehrungen statt?
 Why has the Böge report been no longer improved ? ,"Warum wurde nach meinem Unfall nichts unternommen, um die Treppen sicherer zu machen?"
 Why are no - smoking areas not enforced ? ,Warum wird in den Nichtraucherzonen das Rauchverbot nicht durchgesetzt?
 It is a disgrace that we should adopt rules on which we ourselves do not keep ourselves . ,"Es ist eine Schande, daß wir Regeln verabschieden, an die wir uns dann selbst nicht halten."
" Mrs Lynne , you are quite right and I shall check whether this is so right . ","Frau Lynne, Sie haben völlig recht, und ich werde prüfen, ob all dies wirklich so ist."
" I shall also make the question of the Quaestors , but I am sure that these great value is the legislation we must accept . ","Ich werde die Frage auch den Quästoren unterbreiten. Ich bin mir sicher, daß diese großen Wert darauf legen, daß wir die Rechtsvorschriften, die wir verabschieden, auch selbst einhalten."
" Madam President , Mrs Grossetête and I had questions raised certain questions in a Spanish newspaper , Mrs de Palacio , which called for the Vice - President , Mrs de Palacio . ","Frau Präsidentin! Frau Díez González und ich hatten einige Anfragen zu bestimmten, in einer spanischen Zeitung wiedergegebenen Stellungnahmen der Vizepräsidentin, Frau de Palacio, gestellt."
 The competent services have not included them in the agenda because they did not answer them in a previous sitting . ,"Die zuständigen Dienste haben sie nicht in die Tagesordnung aufgenommen, da sie der Meinung waren, sie seien schon in einer vorangegangenen Sitzung beantwortet worden."
 I would ask you to reconsider this decision because it is not the case . ,"Ich bitte, diese Entscheidung zu überdenken, weil das nicht der Fall ist."
" The questions referred to questions which Mrs de Palacio referred to this type of issue , in a specific case which has been presented during the past November . ","Die früher beantworteten Anfragen bezogen sich auf das Auftreten von Frau de Palacio in einer bestimmten Angelegenheit, nicht auf die am 18. November des vergangenen Jahres in der Tageszeitung ABC erschienenen Erklärungen."
" Mr Berenguer Fuster , we shall check this . ","Lieber Kollege, wir werden das prüfen."
" I must tell you , however , that I feel the situation is somewhat confused . ","Ich muß Ihnen aber sagen, daß ich die Lage im Moment für etwas verworren halte."
 But we will be looking very carefully at this stage . ,"Wir werden das aber sehr genau prüfen, damit alles seine Richtigkeit hat."
" Madam President , I would like to know whether this week will send out a clear signal to our Böge decision about today ' s decision making by the extension of the embargo to scrapie , especially since the large majority in this Parliament voted in favour of the embargo on scrapie in the past . ","Frau Präsidentin, ich wüßte gern, ob das Parlament in dieser Woche ein deutliches Signal unserer Unzufriedenheit bezüglich der heutigen Entscheidung, mit der eine Verlängerung des Waffenembargos gegen Indonesien abgelehnt wird, aussenden wird, zumal sich die große Mehrheit in diesem Parlament in der Vergangenheit für das Waffenembargo gegen Indonesien ausgesprochen hat."
 Today ' s decision against an extension of the embargo is very large threat to the situation there . ,Die heutige Entscheidung gegen eine Verlängerung des Embargos birgt angesichts der dortigen Lage eine sehr große Gefahr.
" Parliament should send a message , since that is the wish of the large majority . ","Das Parlament sollte, da dies dem Wunsch der großen Mehrheit entspricht, eine entsprechende Botschaft senden."
 The rejection of the embargo is irresponsible for EU - Africa Summit . ,Die Ablehnung einer Verlängerung des Embargos seitens der EU-Mitgliedstaaten ist unverantwortlich.
" As has been said , the situation in scrapie is extremely transmissible . ","Wie bereits festgestellt wurde, ist die Lage in Indonesien äußerst instabil."
 There is even a risk of a military military military future . ,Es besteht sogar die Gefahr eines Militärputsches.
 We do not know what happens . ,"Wir wissen nicht, was passiert."
 So why should EU producers profit at the expense of innocent people ? ,Weshalb also sollten Waffenhersteller in der EU auf Kosten unschuldiger Menschen Profite einstreichen?
 This is not the case for the debate on Thursday . ,Dieser Punkt ist bisher nicht für die Dringlichkeitsdebatte am Donnerstag vorgesehen.
 Agenda ,Arbeitsplan
" The next item is the review of the final draft agenda as drawn up by Rule 110 of the Rules of Procedure , pursuant to Rule 6 January of the Conference of Presidents . ","Nach der Tagesordnung folgt die Prüfung des endgültigen Entwurfs der Tagesordnung, wie er nach Artikel 110 der Geschäftsordnung am Donnerstag, dem 13. Januar von der Konferenz der Präsidenten festgelegt wurde."
 No amendments are tabled on Monday and Tuesday . ,Zu Montag und Dienstag liegen keine Änderungen vor.
 Relating to Wednesday : ,Zum Mittwoch:
 The Group of the Party of European Socialists request that a Commission statement on its strategic objectives for the next five years and the administrative reform of the Commission on the next five years .,"Die Sozialdemokratische Fraktion beantragt, eine Erklärung der Kommission über ihre strategischen Ziele für die nächsten fünf Jahre sowie über die Verwaltungsreform der Kommission in die Tagesordnung aufzunehmen."
" I would ask the floor to Mr Barón Crespo , to table his motion for a motion for a resolution , if he wishes to","Ich bitte den Antragsteller, Herrn Barón Crespo, seinen Antrag zu begründen, falls er dies wünscht."
" That is what we shall then do , as usual , one speaker , to the effect . ","Danach verfahren wir wie üblich: ein Redner dafür, einer dagegen."
" Madam President , the idea of the political programme for the Commission , President Prodi , was unanimously approved by the Socialist Group , which was the unanimous decision of the Conference of Presidents in September and which was also accepted by President Prodi in his commitment , was made by President Prodi in his 885.5 commitment . ","Frau Präsidentin! Die Vorstellung des politischen Programms der Kommission Prodi für die gesamte Wahlperiode ging auf einen Vorschlag der Fraktion der Sozialdemokratischen Partei Europas zurück, der die einhellige Billigung der Konferenz der Präsidenten im September und auch die ausdrückliche Zustimmung von Präsident Prodi fand, der seine Zusage in seiner Antrittsrede bekräftigte."
" These promise , as the Commission is a body of initiative , with a view to taking up this Parliament ' s legislative activity - based budgeting and therefore basic legislative activity in the next five years . ","Diese Zusage ist insofern von Bedeutung, als die Kommission ein Organ ist, das nach den Verträgen das Initiativmonopol besitzt und somit grundlegend die politische und legislative Tätigkeit dieses Parlaments in den nächsten fünf Jahren gestaltet."
" I would also like to remind you that this Parliament has been in the previous legislature to have confidence yesterday in the previous legislature ; it was once again in July that we had confidence in the Commission , and then the new Commission was once again in September . ","Ich möchte auch daran erinnern, daß dieses Parlament in der vorangegangenen Wahlperiode Präsident Prodi zweimal sein Vertrauen ausgesprochen hat; in dieser Wahlperiode sprach es ihm im Juli erneut sein Vertrauen aus, und dann, als die neue Kommission im Amt war, gab es im September erneut ein Vertrauensvotum für die Kommission insgesamt."
 The Commission therefore had enough time to prepare its programme and we can explain it to our fellow citizens and explain it to them . ,"Somit hatte die Kommission bereits genügend Zeit, ihr Programm zu erarbeiten, und wir, um es kennenlernen und den Bürgern erklären zu können."
" In this respect , I would remind you of the resolution of 1 September , which recommended that the proposal be implemented as soon as possible . ","In diesem Sinne erinnere ich an die Entschließung vom 15. September, in der empfohlen wurde, den Vorschlag in der kürzestmöglichen Frist vorzulegen."
 The events of last week - which the President of the Conference of Presidents get back to the outset - and ratify decisions taken outside the Conference - which has been used - is not the Commission to present this programme - we should clarify it in case with a clear case that this programme . ,"Die Ereignisse der vergangenen Woche - die am Rande der Konferenz der Präsidenten ihren Anfang nahmen und wobei diese Konferenz nur zur Bestätigung und Ratifizierung von außerhalb gefaßten Beschlüssen genutzt wurde - verdeutlichen ein Dilemma: Entweder ist die Kommission nicht in der Lage, dieses Programm vorzulegen (In diesem Fall sollte sie eine Klärung herbeiführen."
" According to his President , it is capable of doing so . ",Nach den Worten ihres Präsidenten ist sie dazu in der Lage.
" As the Commission , Mrs de Palacio Vallelersundi , I think that it would be appropriate to hear the opinion of the Commission regarding the idea of the programme , as agreed , to hear what we agreed , or Parliament is to know , if some people appear to be given the review of this programme . ","Da die Kommission durch die Vizepräsidentin, Frau de Palacio, vertreten ist, halte ich es für zweckmäßig, vor der Abstimmung die Position der Kommission hinsichtlich ihrer Bereitschaft zur Vorstellung des Programms, so wie es vereinbart war, zu erfahren.), oder das Parlament ist zur Prüfung dieses Programms nicht in der Lage, wie einige offenbar vorgeben."
" In my view , this second hence the Commission would not have the power to take part in our responsibility as a Parliament and Parliament would like to mention an original method of thinking which includes the political groups in writing : a week ago - and not agreed day before yesterday - we will have reached a week in February - as a week where the programme was discussed in February - we will no longer have been discussing and we heard about it - since the press our citizens would be able to check the Internet . ","Nach meiner Ansicht würde diese zweite Hypothese einem Verzicht auf unsere Verantwortung als Parlament und darüber hinaus dem Aufwerfen einer originellen These, einer unbekannten Methode gleichkommen, die darin bestände, den Fraktionen die programmatische Rede der Kommission in schriftlicher Form eine Woche vorher - und nicht, wie vereinbart, am Tag zuvor - zur Kenntnis zu geben, wobei zu berücksichtigen ist, daß das Legislativprogramm im Februar diskutiert werden wird, so daß wir auf die Aussprache verzichten könnten, da die Presse und das Internet am Tag darauf alle Bürger darüber informiert haben würden und das Parlament keinen Grund mehr hätte, sich mit der Angelegenheit zu befassen."
" My group believes that a Parliament is to debate , to debate , to debate and reflect , to consider where , if the Commission considers that this delay , and we believe that if the Commission is in the position to use the original agreement between Parliament and the Commission , we are able to withdraw our fellow citizens and our fellow citizens , and to make our fellow citizens more responsible . ","Da meine Fraktion der Meinung ist, daß ein Parlament dazu da ist, zuzuhören, zu diskutieren und nachzudenken, gibt es unserer Ansicht nach keinen Grund zur Rechtfertigung dieser Verzögerung, und wir glauben, wenn die Kommission dazu in der Lage ist, liegen wir genau in der Zeit, um die ursprüngliche Vereinbarung zwischen dem Parlament und der Kommission wieder in Kraft zu setzen und verantwortungsbewußt vor unsere Mitbürgerinnen und Mitbürgern treten zu können."
" That is why the Group of the Party of European Socialists is why the Commission ' s proposal is to maintain Wednesday than yesterday ' s presentation and continue to maintain administrative reform , since we would like to add a Conciliation Committee , because we would , on a black situation in a Conciliation situation , the President of the Commission , a debate on the one hand , no one of the Commission ' s sitting , the idea of the texts on which it was made before Parliament was based . ","Deshalb besteht der Vorschlag der Fraktion der Sozialdemokratischen Partei Europas, den Sie erwähnt haben, darin, den Mittwoch als Termin der Vorstellung des Programms der Kommission Prodi für die Wahlperiode beizubehalten, und in dieses Programm auch das Verwaltungsreformprojekt einzubeziehen, da wir andernfalls in eine paradoxe Situation geraten könnten: Mit der Ausrede, der Wortlaut liege nicht vor, wird einerseits dem Präsidenten der Kommission das Recht abgesprochen, in diesem Parlament zu sprechen, und andererseits würde eine Aussprache über die Reform stattfinden, ohne daß dieses Parlament zuvor die Texte lesen konnte, die der Aussprache zugrunde liegen."
 That is why I ask you to ask the Commission to comment on the matter and then proceed to the vote . ,"Daher bitte ich Sie, Frau Präsidentin, die Kommission zu ersuchen, sich jetzt zu äußern, und danach zur Abstimmung zu schreiten."
 ( Applause from the PSE Group ) ,(Beifall der PSE-Fraktion)
" Madam President , ladies and gentlemen , I am somewhat surprised at Mr Barón Crespo 's behaviour , which is now asking for the item on the agenda for Wednesday . ","Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich bin doch etwas erstaunt über das Verhalten des Kollegen Barón Crespo, der jetzt verlangt, daß dieser Tagesordnungspunkt auf die Tagesordnung für Mittwoch gesetzt wird."
" Mr Barón Crespo , you were unable to attend the Conference of Presidents last Thursday . ","Herr Kollege Barón Crespo, Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein."
" I am not the case , of the day - to - day day . It is time to be represented . ","Das kritisiere ich nicht; es kommt immer mal vor, daß man sich vertreten läßt."
 Mr Hänsch represented you on this . ,Der Kollege Hänsch hat Sie dort vertreten.
 We had a detailed debate on the Conference of Presidents . ,Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt.
 Just what your group was represented . ,"Nur Ihre Fraktion hat das vertreten, was Sie jetzt sagen."
 We shall then vote . ,Wir haben dann abgestimmt.
" As chairman of the PPE - DE Group , many votes like the members of the Group of the European Socialists have ,","Jeder Vorsitzende bzw. jede Vorsitzende hat ja so viele Stimmen, wie die Fraktion Mitglieder hat."
 There was a vote on this point . ,Es gab eine Abstimmung zu diesem Punkt.
 I remember that this vote was wasting a few weeks ago . The result of 180 with a few abstentions . ,Diese Abstimmung ist meiner Erinnerung nach so ausgegangen: 422 gegen 180 Stimmen bei einigen wenigen Enthaltungen.
 This means that all the groups - with the exception of the non - member countries - although the Group of the European People ' s Party - are not agreed on the way you suggested here . ,"Das heißt, alle Fraktionen, mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig, nur Ihre Fraktion war der Meinung, so zu verfahren, wie Sie es hier vorgeschlagen haben."
 All other members were of the opinion . ,Alle anderen waren anderer Meinung.
 That was the decision . ,Das war der Beschluß.
 Now I should like to make a few comments on the matter . ,Jetzt möchte ich zur Sache selbst etwas sagen.
